,word,trueFrequency
105,eachhh,8883
106,justtt,8804
107,thosee,8750
108,americ,8744
109,little,8553
110,howwww,8538
111,genera,8209
112,gooddd,8109
113,makeee,8076
114,statee,8058
115,stilll,8042
116,seeeee,8025
117,veryyy,8012
118,workkk,7978
119,ownnnn,7956
120,worldd,7946
121,mennnn,7896
122,longgg,7779
123,bothhh,7670
124,getttt,7650
125,nation,7648
126,hereee,7622
127,school,7503
128,underr,7398
129,betwee,7306
130,lifeee,7244
131,develo,7170
132,beingg,7121
133,neverr,7095
134,dayyyy,7007
135,anothe,7003
136,sameee,7002
137,lasttt,6987
138,knowww,6960
139,direct,6952
140,oldddd,6904
141,person,6872
142,whilee,6809
143,usssss,6809
144,presen,6778
145,mightt,6760
146,greatt,6707
147,yearrr,6678
148,comeee,6574
149,govern,6567
150,produc,6560
151,differ,6530
152,commun,6460
153,gooooo,6434
154,rightt,6351
155,agains,6350
156,cameee,6324
157,sincee,6311
158,number,6269
159,experi,6264
160,takeee,6261
161,states,6218
162,threee,6205
163,himsel,6192
164,useddd,6147
165,comple,6129
166,during,6059
167,useeee,6059
168,withou,6039
169,housee,6030
170,follow,6020
171,system,5992
172,intere,5961
173,fewwww,5951
174,possib,5869
175,public,5869
176,provid,5853
177,proble,5848
178,consid,5842
179,progra,5803
180,againn,5749
181,placee,5737
182,around,5710
183,contin,5655
184,homeee,5587
185,howeve,5566
186,smalll,5535
187,import,5515
188,foundd,5422
189,member,5417
190,increa,5408
191,effect,5330
192,course,5306
193,partic,5244
194,wenttt,5157
195,questi,5120
196,doesss,5075
197,countr,5066
198,highhh,5052
199,sayyyy,5048
200,everyy,5043
201,office,5034
202,uponnn,5007
203,onceee,5004
204,result,4999
205,parttt,4966
206,operat,4874
207,gotttt,4864
208,lefttt,4856
209,united,4855
210,certai,4844
211,relati,4833
212,requir,4800
213,reason,4755
214,become,4733
215,report,4730
216,change,4712
217,church,4700
218,servic,4696
219,awayyy,4696
220,always,4688
221,untill,4662
222,someth,4644
223,warrrr,4631
224,histor,4626
225,social,4610
226,presid,4587
227,facttt,4558
228,waterr,4545
229,second,4544
230,toward,4486
231,lessss,4463
232,enough,4429
233,busine,4425
234,putttt,4420
235,thinkk,4416
236,almost,4415
237,handdd,4396
238,concer,4360
239,nightt,4360
240,farrrr,4333
241,appear,4302
242,setttt,4300
243,includ,4292
244,yetttt,4288
245,better,4286
246,tookkk,4279
247,headdd,4258
248,nothin,4238
249,laterr,4184
250,goingg,4167
251,finddd,4135
252,compan,4133
253,tolddd,4132
254,endddd,4119
255,eyesss,4118
256,whyyyy,4086
257,knewww,4042
258,econom,4041
259,respon,4023
260,friend,4019
261,nexttt,4018
262,called,4018
263,giveee,4017
264,lookkk,3995
265,askedd,3986
266,sideee,3972
267,letttt,3961
268,roommm,3952
269,pointt,3952
270,positi,3946
271,cityyy,3941
272,groupp,3930
273,daysss,3902
274,univer,3882
275,faceee,3879
276,politi,3875
277,perrrr,3872
278,youngg,3824
279,matter,3815
280,things,3795
281,expect,3792
282,whitee,3784
283,formmm,3781
284,orderr,3779
285,looked,3775
286,caseee,3769
287,return,3761
288,inform,3754
289,givenn,3751
290,indivi,3747
291,within,3744
292,amongg,3743
293,largee,3740
294,indust,3735
295,oftenn,3734
296,proper,3734
297,unders,3729
298,contro,3728
299,johnnn,3709
300,earlyy,3705
301,sawwww,3699
302,fourrr,3698
303,rather,3694
304,severa,3694
305,childr,3691
306,felttt,3656
307,action,3655
308,bigggg,3642
309,alongg,3604
310,besttt,3593
311,leastt,3581
312,needdd,3580
313,period,3579
314,studen,3574
315,specia,3564
316,believ,3559
317,everrr,3543
318,necess,3527
319,powerr,3527
320,figure,3513
321,probab,3503
322,remain,3497
323,finall,3497
324,christ,3445
325,seemed,3442
326,educat,3429
327,organi,3405
328,charac,3400
329,secret,3388
330,determ,3378
331,exampl,3376
332,design,3372
333,family,3362
334,minddd,3359
335,doneee,3349
336,althou,3343
337,wanttt,3337
338,areaaa,3328
339,wholee,3327
340,measur,3323
341,thingg,3322
342,opennn,3317
343,moment,3309
344,method,3309
345,street,3296
346,lightt,3292
347,turned,3289
348,distri,3283
349,doorrr,3269
350,electr,3265
351,others,3260
352,condit,3258
353,contra,3248
354,colleg,3243
355,godddd,3237
356,receiv,3232
357,record,3219
358,proces,3215
359,thusss,3207
360,indica,3202
361,itself,3172
362,practi,3169
363,begann,3169
364,object,3168
365,eviden,3155
366,spirit,3150
367,succes,3147
368,helppp,3146
369,sensee,3140
370,kinddd,3138
371,usuall,3134
372,perhap,3124
373,recent,3120
374,techni,3120
375,strong,3098
376,meanss,3098
377,lineee,3097
378,timess,3096
379,depart,3067
380,religi,3065
381,congre,3046
382,locall,3035
383,humann,3028
384,repres,3018
385,abovee,2996
386,yorkkk,2993
387,suppor,2982
388,fiveee,2978
389,additi,2975
390,center,2968
391,lawwww,2964
392,materi,2962
393,subjec,2950
394,todayy,2943
395,handss,2937
396,takenn,2934
397,expres,2933
398,having,2933
399,actttt,2933
400,princi,2931
401,nameee,2930
402,either,2930
403,manage,2928
404,quitee,2925
405,showww,2919
406,diffic,2909
407,pasttt,2908
408,answer,2906
409,whethe,2902
410,author,2899
411,common,2897
412,happen,2888
413,across,2884
414,anythi,2879
415,popula,2874
416,except,2871
417,really,2854
418,seennn,2849
419,feettt,2841
420,greate,2835
421,societ,2831
422,weekkk,2831
423,gaveee,2829
424,fieldd,2827
425,leader,2826
426,bodyyy,2817
427,shalll,2805
428,worddd,2804
429,helddd,2802
430,actual,2802
431,deathh,2799
432,alread,2792
433,effort,2788
434,halfff,2787
435,availa,2782
436,themse,2770
437,carrrr,2765
438,moneyy,2759
439,beginn,2755
440,wordss,2749
441,letter,2743
442,federa,2743
443,accept,2732
444,associ,2731
445,keeppp,2730
446,cannot,2727
447,minute,2724
448,admini,2715
449,sugges,2714
450,tellll,2712
451,descri,2708
452,furthe,2705
453,commit,2705
454,realll,2701
455,perfor,2699
456,involv,2698
457,togeth,2694
458,sectio,2689
459,litera,2685
460,situat,2675
461,ground,2671
462,compar,2663
463,freeee,2653
464,behind,2644
465,missss,2642
466,sureee,2634
467,brough,2632
468,millio,2615
469,employ,2610
470,profes,2606
471,making,2596
472,seemss,2590
473,washin,2579
474,establ,2570
475,southh,2564
476,airrrr,2563
477,centur,2558
478,rememb,2551
479,whosee,2547
480,purpos,2546
481,majorr,2545
482,became,2542
483,mother,2530
484,entire,2522
485,pictur,2520
486,studyy,2516
487,agoooo,2501
488,discus,2492
489,prepar,2478
490,observ,2472
491,respec,2472
492,totall,2470
493,heardd,2469
494,westtt,2467
495,market,2433
496,knownn,2432
497,boyyyy,2426
498,milita,2414
499,intern,2413
500,fullll,2412
501,activi,2408
502,buildi,2407
503,someti,2405
504,surfac,2405
505,loveee,2404
506,modern,2399
507,natura,2394
508,womann,2392
509,costtt,2391
510,trueee,2386
511,turnnn,2385
512,areass,2385
513,seemmm,2382
514,closee,2358
515,feelin,2351
516,policy,2317
517,ammmmm,2317
518,jobbbb,2313
519,factor,2312
520,ageeee,2309
521,wifeee,2305
522,charge,2302
523,forcee,2290
524,machin,2288
525,collec,2288
526,wanted,2283
527,approa,2274
528,achiev,2270
529,voicee,2269
530,amount,2265
531,regard,2263
532,musicc,2260
533,outsid,2259
534,identi,2255
535,demand,2254
536,landdd,2251
537,boardd,2249
538,wonder,2245
539,levell,2245
540,reacti,2244
541,courtt,2244
542,sixxxx,2243
543,englis,2242
544,clearr,2242
545,future,2235
546,stoodd,2235
547,girlll,2226
548,frontt,2219
549,german,2218
550,theref,2216
551,instit,2214
552,partyy,2204
553,ableee,2204
554,pressu,2198
555,mornin,2183
556,hundre,2180
557,recogn,2177
558,projec,2177
559,shortt,2173
560,classs,2170
561,feelll,2170
562,townnn,2164
563,topppp,2162
564,specif,2157
565,childd,2153
566,northh,2148
567,invest,2145
568,physic,2137
569,immedi,2135
570,origin,2134
571,rateee,2132
572,island,2125
573,artttt,2120
574,variou,2119
575,soonnn,2115
576,privat,2114
577,decisi,2113
578,runnnn,2111
579,father,2109
580,defens,2109
581,tradit,2105
582,leavee,2100
583,accord,2100
584,statem,2099
585,constr,2090
586,starte,2090
587,bookkk,2077
588,plannn,2074
589,redddd,2070
590,functi,2069
591,meannn,2069
592,depend,2068
593,obviou,2063
594,playyy,2061
595,troubl,2061
596,roaddd,2060
597,peacee,2059
598,contai,2054
599,alonee,2042
600,blackk,2041
601,decide,2040
602,soundd,2039
603,simila,2036
604,living,2025
605,ideaaa,2024
606,harddd,2023
607,nearrr,2021
608,southe,2020
609,distin,2016
610,womenn,2015
611,valuee,2013
612,statio,2009
613,liness,2003
614,tablee,2002
615,standa,1998
616,taxxxx,1997
617,typeee,1989
618,instru,1982
619,sudden,1980
620,reache,1972
621,imagin,1971
622,compet,1971
623,select,1970
624,longer,1969
625,nature,1968
626,thirdd,1966
627,democr,1963
628,goneee,1962
629,improv,1959
630,simple,1956
631,saysss,1951
632,propos,1949
633,meetin,1945
634,temper,1944
635,police,1937
636,viewww,1937
637,centra,1936
638,unionn,1929
639,critic,1927
640,callll,1921
641,liveee,1920
642,norrrr,1916
643,darkkk,1915
644,kepttt,1914
645,single,1911
646,basiss,1909
647,normal,1905
648,somewh,1903
649,values,1902
650,months,1899
651,easttt,1898
652,europe,1896
653,engine,1887
654,needed,1884
655,cutttt,1884
656,everyt,1883
657,spacee,1882
658,attemp,1879
659,streng,1878
660,appare,1869
661,fireee,1868
662,elemen,1865
663,freque,1864
664,meanin,1859
665,suppos,1857
666,taking,1856
667,contri,1855
668,obtain,1855
669,attent,1852
670,studie,1849
671,regula,1849
672,russia,1848
673,detail,1844
674,coming,1841
675,elseee,1837
676,remark,1833
677,wrotee,1830
678,foreig,1821
679,willia,1820
680,costss,1817
681,realiz,1817
682,accoun,1816
683,lateee,1816
684,influe,1815
685,heartt,1815
686,consis,1815
687,signif,1814
688,moveme,1813
689,accomp,1813
690,financ,1811
691,source,1807
692,assist,1805
693,hallll,1803
694,makess,1802
695,volume,1798
696,opport,1794
697,inside,1793
698,forces,1793
699,hopeee,1792
700,explai,1791
701,dataaa,1791
702,intell,1791
703,permit,1790
704,movedd,1789
705,deaddd,1786
706,window,1786
707,carrie,1786
708,losttt,1781
709,medica,1777
710,readdd,1770
711,lookin,1768
712,separa,1765
713,payyyy,1762
714,occasi,1760
715,addedd,1755
716,simply,1754
717,holddd,1753
718,colddd,1751
719,miless,1748
720,patter,1747
721,stagee,1747
722,discov,1739
723,readin,1738
724,seriou,1735
725,occurr,1734
726,hourss,1733
727,conclu,1729
728,offici,1728
729,length,1727
730,equipm,1726
731,scienc,1725
732,resear,1725
733,square,1725
734,brownn,1724
735,triedd,1722
736,preven,1720
737,progre,1717
738,careee,1716
739,chance,1713
740,assign,1705
741,fineee,1705
742,tennnn,1703
743,doingg,1701
744,instea,1701
745,distan,1700
746,attack,1697
747,beyond,1695
748,moveee,1694
749,lowwww,1694
750,basicc,1688
751,englan,1687
752,sonnnn,1687
753,existe,1683
754,averag,1680
755,compos,1676
756,riverr,1672
757,famili,1672
758,instan,1671
759,shownn,1671
760,workin,1671
761,resttt,1669
762,impres,1668
763,symbol,1667
764,struct,1663
765,teache,1660
766,qualit,1660
767,earlie,1658
768,substa,1655
769,traini,1655
770,protec,1653
771,trying,1651
772,curren,1645
773,sorttt,1642
774,spring,1641
775,termss,1641
776,conver,1639
777,bringg,1634
778,conduc,1633
779,wallll,1632
780,commen,1629
781,emotio,1629
782,concep,1628
783,especi,1624
784,surpri,1623
785,couple,1622
786,transf,1622
787,reflec,1621
788,higher,1615
789,langua,1614
790,startt,1614
791,gettin,1611
792,former,1610
793,straig,1608
794,region,1606
795,legisl,1604
796,walked,1604
797,neighb,1601
798,patien,1601
799,indeed,1597
800,rangee,1592
801,growth,1592
802,commis,1591
803,carefu,1590
804,indepe,1587
805,passed,1586
806,formul,1584
807,artist,1584
808,hearrr,1583
809,paperr,1580
810,strang,1579
811,equall,1577
812,centtt,1576
813,announ,1574
814,thinki,1574
815,listen,1570
816,comman,1570
817,talkkk,1569
818,meettt,1569
819,writte,1567
820,primar,1564
821,advanc,1562
822,summer,1557
823,satttt,1556
824,proced,1556
825,philos,1556
826,consti,1550
827,county,1547
828,standd,1547
829,stress,1544
830,connec,1541
831,reduce,1539
832,attitu,1539
833,issuee,1537
834,initia,1536
835,casess,1535
836,editor,1532
837,mainta,1530
838,create,1529
839,needss,1529
840,intens,1528
841,fooddd,1527
842,floorr,1526
843,bridge,1525
844,knowle,1525
845,combin,1524
846,husban,1522
847,stockk,1522
848,laborr,1520
849,health,1520
850,hospit,1519
851,wester,1517
852,hairrr,1516
853,slight,1515
854,attend,1511
855,fallll,1511
856,storyy,1509
857,clubbb,1507
858,degree,1506
859,satisf,1506
860,consta,1505
861,earthh,1505
862,thousa,1504
863,points,1504
864,commer,1498
865,beauti,1495
866,gradua,1494
867,desire,1491
868,yessss,1490
869,dueeee,1490
870,morall,1485
871,badddd,1480
872,conven,1479
873,french,1477
874,paiddd,1475
875,settle,1475
876,previo,1475
877,scient,1473
878,evenin,1468
879,usingg,1465
880,likely,1462
881,dollar,1458
882,travel,1456
883,beloww,1454
884,girlss,1453
885,billll,1452
886,whommm,1452
887,dealll,1452
888,hourrr,1450
889,beside,1449
890,opinio,1449
891,showed,1448
892,writer,1445
893,readyy,1444
894,estima,1443
895,creati,1442
896,opposi,1438
897,arrang,1436
898,cultur,1436
899,corpor,1435
900,kenned,1435
901,consci,1434
902,ideass,1431
903,doctor,1430
904,manner,1429
905,colorr,1424
906,mentio,1424
907,interv,1421
908,danger,1420
909,merely,1419
910,boysss,1419
911,remove,1419
912,tradee,1419
913,extrem,1417
914,expens,1415
915,armyyy,1415
916,weekss,1414
917,comess,1411
918,corner,1411
919,tryyyy,1408
920,blueee,1408
921,layyyy,1408
922,senttt,1401
923,finish,1399
924,neithe,1398
925,assume,1398
926,lossss,1397
927,interp,1396
928,george,1396
929,maybee,1396
930,electi,1392
931,season,1391
932,freedo,1389
933,writin,1387
934,soviet,1387
935,rannnn,1384
936,libera,1380
937,nearly,1378
938,aidddd,1370
939,sizeee,1369
940,metttt,1367
941,analys,1366
942,brothe,1364
943,republ,1363
944,promis,1362
945,master,1360
946,groups,1357
947,theory,1354
948,classi,1352
949,workss,1350
950,divisi,1347
951,opened,1346
952,series,1346
953,publis,1345
954,protes,1344
955,leaddd,1340
956,suffer,1339
957,applic,1338
958,saless,1335
959,triall,1333
960,piecee,1333
961,worked,1332
962,ledddd,1332
963,capita,1332
964,precis,1331
965,notice,1330
966,listtt,1328
967,anyone,1327
968,declar,1327
969,treatm,1326
970,waysss,1320
971,monthh,1319
972,confer,1314
973,steppp,1313
974,bedddd,1313
975,placed,1312
976,stoppe,1309
977,askkkk,1308
978,wrongg,1308
979,extend,1305
980,featur,1305
981,manufa,1303
982,causee,1302
983,audien,1302
984,choice,1300
985,hotttt,1300
986,disapp,1298
987,presss,1296
988,domina,1295
989,murder,1293
990,applie,1292
991,affect,1291
992,essent,1290
993,bright,1290
994,cathol,1289
995,clearl,1288
996,robert,1287
997,marria,1286
998,recomm,1286
999,formss,1277
1000,hotell,1277
1001,myself,1276
1002,addres,1275
1003,larger,1275
1004,gunnnn,1272
1005,imagee,1271
1006,displa,1271
1007,adjust,1269
1008,deeeee,1268
1009,citize,1265
1010,cccccc,1263
1011,bloodd,1258
1012,truthh,1258
1013,feeddd,1254
1014,planni,1253
1015,gameee,1253
1016,ohhhhh,1252
1017,lowerr,1252
1018,easyyy,1252
1019,conten,1251
1020,middle,1250
1021,reside,1248
1022,detect,1245
1023,forwar,1244
1024,contem,1243
1025,fearrr,1243
1026,noteee,1238
1027,lotttt,1238
1028,plantt,1238
1029,testtt,1237
1030,runnin,1236
1031,agreem,1234
1032,wideee,1233
1033,served,1233
1034,hersel,1232
1035,finger,1228
1036,britis,1228
1037,mechan,1227
1038,farmmm,1227
1039,eyeeee,1226
1040,fiscal,1226
1041,marchh,1225
1042,virgin,1224
1043,stoppp,1223
1044,facili,1219
1045,slowly,1218
1046,examin,1217
1047,sunnnn,1216
1048,justic,1215
1049,affair,1215
1050,radioo,1214
1051,missio,1214
1052,nuclea,1211
1053,parent,1208
1054,threat,1208
1055,basedd,1206
1056,planee,1205
1057,aftern,1204
1058,suffic,1204
1059,sevenn,1203
1060,income,1202
1061,repeat,1201
1062,encour,1201
1063,defini,1200
1064,onesss,1199
1065,armsss,1199
1066,fellow,1196
1067,chieff,1195
1068,bornnn,1194
1069,learne,1192
1070,ajjjjj,1189
1071,worker,1188
1072,animal,1187
1073,dailyy,1187
1074,carsss,1186
1075,planss,1186
1076,demons,1186
1077,latter,1185
1078,mainnn,1182
1079,greenn,1182
1080,supply,1174
1081,counci,1172
1082,speakk,1171
1083,saying,1170
1084,victor,1170
1085,relate,1169
1086,radiat,1167
1087,appeal,1165
1088,bbbbbb,1164
1089,doubtt,1162
1090,noneee,1162
1091,circum,1161
1092,custom,1161
1093,column,1157
1094,balanc,1157
1095,poolll,1155
1096,attrac,1152
1097,stayyy,1150
1098,moving,1150
1099,whatev,1148
1100,surviv,1148
1101,weight,1146
1102,typess,1145
1103,handle,1144
1104,shottt,1144
1105,hitttt,1143
1106,transp,1143
1107,visitt,1142
1108,extent,1141
1109,behavi,1140
1110,horsee,1140
1111,poorrr,1139
1112,faithh,1138
1113,schola,1136
1114,partss,1135
1115,illust,1135
1116,livedd,1135
1117,benefi,1134
1118,psycho,1133
1119,closed,1132
1120,stepss,1130
1121,introd,1129
1122,growin,1128
1123,corpss,1126
1124,junior,1126
1125,concen,1125
1126,annual,1122
1127,insist,1121
1128,counte,1120
1129,aspect,1119
1130,wishhh,1118
1131,writee,1117
1132,advant,1117
1133,rhodee,1116
1134,reachh,1116
1135,perfec,1116
1136,roleee,1115
1137,drivee,1114
1138,comfor,1112
1139,active,1110
1140,heavyy,1109
1141,scenee,1108
1142,servee,1108
1143,exerci,1108
1144,stafff,1107
1145,please,1106
1146,hardly,1105
1147,ballll,1103
1148,lackkk,1102
1149,givess,1099
1150,sunday,1098
1151,newspa,1097
1152,ratess,1097
1153,emphas,1093
1154,dinner,1092
1155,covere,1092
1156,events,1088
1157,percen,1088
1158,cities,1088
1159,deeppp,1088
1160,marrie,1087
1161,cooper,1087
1162,eightt,1086
1163,waitin,1086
1164,exactl,1085
1165,played,1085
1166,jamess,1083
1167,firmmm,1079
1168,execut,1079
1169,places,1078
1170,emerge,1078
1171,paymen,1078
1172,breath,1077
1173,revolu,1076
1174,spentt,1075
1175,replac,1074
1176,assemb,1073
1177,securi,1071
1178,dateee,1071
1179,pricee,1071
1180,conseq,1071
1181,sessio,1069
1182,destro,1068
1183,weapon,1067
1184,approp,1066
1185,spread,1065
1186,extens,1064
1187,energy,1064
1188,approv,1063
1189,referr,1063
1190,campai,1063
1191,despit,1062
1192,builtt,1059
1193,mouthh,1059
1194,indian,1056
1195,limite,1053
1196,fightt,1053
1197,battle,1053
1198,consum,1051
1199,pretty,1049
1200,aheadd,1049
1201,standi,1046
1202,poettt,1045
1203,charle,1044
1204,gassss,1044
1205,raised,1042
1206,talkin,1042
1207,easily,1042
1208,librar,1040
1209,juneee,1040
1210,bitttt,1038
1211,search,1038
1212,knowss,1036
1213,confid,1034
1214,prospe,1033
1215,regist,1033
1216,purcha,1031
1217,superi,1031
1218,soldie,1030
1219,sidess,1028
1220,newsss,1027
1221,unittt,1026
1222,negroo,1025
1223,addddd,1024
1224,treess,1024
1225,happyy,1023
1226,teethh,1022
1227,glasss,1022
1228,riseee,1022
1229,sympat,1022
1230,prefer,1021
1231,fundss,1020
1232,droppe,1020
1233,stylee,1020
1234,garden,1019
1235,ordina,1018
1236,giving,1016
1237,raceee,1014
1238,circle,1011
1239,status,1008
1240,meantt,1008
1241,unless,1008
1242,walkkk,1007
1243,thomas,1006
1244,highly,1006
1245,claimm,1005
1246,confus,1004
1247,clothe,1004
1248,belong,1003
1249,resist,1003
1250,approx,1002
1251,signal,999
1252,reserv,999
1253,corres,998
1254,sittin,998
1255,bookss,995
1256,promot,994
1257,kitche,994
1258,everyo,992
1259,cattle,991
1260,integr,990
1261,apartm,990
1262,showss,989
1263,articl,989
1264,reveal,988
1265,provis,987
1266,clayyy,985
1267,bottle,985
1268,painti,984
1269,filmmm,978
1270,sensit,977
1271,forest,977
1272,shelte,976
1273,fashio,975
1274,sharee,974
1275,convic,973
1276,playin,972
1277,jazzzz,971
1278,filled,970
1279,chicag,967
1280,oillll,966
1281,teleph,966
1282,potent,965
1283,suppli,964
1284,narrow,964
1285,waittt,963
1286,violen,962
1287,moreov,961
1288,switch,960
1289,hellll,960
1290,willin,960
1291,accura,958
1292,parkkk,957
1293,massss,957
1294,invent,954
1295,worthh,954
1296,bitter,954
1297,richar,952
1298,failur,951
1299,lorddd,950
1300,london,950
1301,interf,949
1302,signnn,949
1303,contac,949
1304,posses,947
1305,strugg,946
1306,armmmm,943
1307,effici,943
1308,bottom,942
1309,entere,941
1310,atmosp,940
1311,seaaaa,940
1312,escape,940
1313,leavin,940
1314,appoin,940
1315,civill,937
1316,device,936
1317,realit,936
1318,locati,936
1319,variet,934
1320,academ,934
1321,pieces,934
1322,jackkk,933
1323,flower,933
1324,caused,932
1325,famous,932
1326,arrive,931
1327,sample,930
1328,fellll,930
1329,engage,930
1330,kinggg,930
1331,minist,929
1332,divide,928
1333,quickl,928
1334,dancee,926
1335,findin,925
1336,factss,923
1337,smalle,922
1338,heattt,920
1339,olderr,919
1340,excell,919
1341,thinnn,918
1342,incide,918
1343,takess,917
1344,unifor,917
1345,preser,916
1346,otherw,913
1347,winter,912
1348,sirrrr,912
1349,caught,911
1350,review,911
1351,passss,909
1352,speech,909
1353,unitss,909
1354,yester,908
1355,civili,908
1356,someon,908
1357,candid,904
1358,musica,904
1359,delive,903
1360,vehicl,903
1361,seeing,903
1362,france,903
1363,allowe,903
1364,notedd,902
1365,gather,902
1366,chapte,901
1367,planne,901
1368,interi,900
1369,baseee,899
1370,dieddd,899
1371,mikeee,899
1372,intent,897
1373,enemyy,896
1374,shippp,896
1375,roseee,896
1376,resour,896
1377,touchh,894
1378,marked,894
1379,credit,892
1380,villag,888
1381,carryy,888
1382,buildd,885
1383,poetry,884
1384,typica,884
1385,legall,884
1386,league,883
1387,maryyy,883
1388,abilit,883
1389,adequa,881
1390,motion,881
1391,schedu,879
1392,mounta,879
1393,daught,879
1394,belief,878
1395,exchan,877
1396,judgme,876
1397,classe,876
1398,captai,875
1399,sexxxx,875
1400,breakk,874
1401,crisis,874
1402,openin,874
1403,spokee,873
1404,sightt,872
1405,goesss,872
1406,painnn,872
1407,career,872
1408,soluti,872
1409,automa,869
1410,admitt,869
1411,trippp,868
1412,broadd,868
1413,namess,867
1414,capaci,866
1415,watche,865
1416,markkk,864
1417,coverr,863
1418,learnn,863
1419,teammm,862
1420,propor,862
1421,neckkk,861
1422,refere,857
1423,lawsss,857
1424,ruless,857
1425,tensio,856
1426,dramat,856
1427,quarte,855
1428,houses,854
1429,assure,854
1430,inches,854
1431,henryy,854
1432,fixedd,853
1433,gentle,853
1434,speedd,852
1435,indexx,849
1436,trainn,849
1437,namedd,849
1438,correc,849
1439,pointe,846
1440,checkk,846
1441,automo,846
1442,stated,846
1443,posttt,845
1444,justif,844
1445,agreed,844
1446,keyyyy,841
1447,missil,841
1448,valley,841
1449,shapee,840
1450,recall,839
1451,judgee,839
1452,reques,839
1453,ladyyy,838
1454,procee,836
1455,poemss,836
1456,youthh,836
1457,toneee,836
1458,bankkk,835
1459,imposs,833
1460,drinkk,833
1461,cellss,831
1462,fairrr,830
1463,ultima,830
1464,stretc,829
1465,livess,829
1466,stream,829
1467,hearin,828
1468,decade,825
1469,messag,825
1470,player,825
1471,forced,824
1472,instal,823
1473,twenty,823
1474,grayyy,819
1475,excess,818
1476,northe,818
1477,altern,817
1478,coffee,815
1479,compon,814
1480,multip,814
1481,maximu,812
1482,vocati,811
1483,dogggg,811
1484,weathe,808
1485,barrrr,808
1486,defend,807
1487,nineee,806
1488,assess,806
1489,offerr,806
1490,deligh,804
1491,locate,804
1492,freshh,803
1493,talent,802
1494,exhibi,802
1495,solidd,802
1496,itemss,801
1497,platfo,801
1498,dieeee,801
1499,fileee,799
1500,favorr,799
1501,offere,799
1502,louiss,799
1503,volunt,799
1504,entert,797
1505,rights,796
1506,chairm,796
1507,enterr,796
1508,richhh,796
1509,hypoth,795
1510,titlee,795
1511,picked,795
1512,killed,794
1513,reader,794
1514,sammmm,794
1515,watchh,792
1516,orches,792
1517,rockkk,791
1518,facult,790
1519,stayed,789
1520,niceee,788
1521,storee,787
1522,budget,786
1523,eventt,786
1524,laiddd,785
1525,refuse,783
1526,joness,783
1527,awaree,782
1528,argume,781
1529,pulled,780
1530,fitttt,780
1531,watchi,780
1532,formed,779
1533,nevert,779
1534,double,779
1535,consul,778
1536,berlin,777
1537,mercer,777
1538,retire,777
1539,voteee,776
1540,muscle,776
1541,unusua,776
1542,myster,775
1543,devote,775
1544,carryi,775
1545,dusttt,773
1546,accele,773
1547,wantss,772
1548,expert,772
1549,framee,771
1550,camppp,770
1551,pppppp,769
1552,waited,768
1553,backgr,768
1554,railro,767
1555,fullyy,767
1556,apprec,766
1557,advert,766
1558,fasttt,765
1559,novemb,765
1560,roundd,764
1561,elimin,763
1562,duuuuu,763
1563,failed,762
1564,mistak,762
1565,brieff,762
1566,portio,761
1567,claims,761
1568,africa,760
1569,quiett,759
1570,nobody,758
1571,everyb,758
1572,ideall,757
1573,journa,757
1574,liquid,756
1575,knifee,756
1576,glance,755
1577,edgeee,755
1578,restri,754
1579,modell,754
1580,termmm,754
1581,resolu,754
1582,powers,754
1583,twicee,754
1584,plusss,753
